sample_id,project_name,species,site,latitude,longitude,collection_date,collector_name,storage_solution,storage_volume,tissue_left,tissue_left_date,sample_owner,notes
Mpyr_M_PRMB_0001,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.79065499,-72.931343,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0002,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.79054502,-72.93145398,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0003,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.79046204,-72.93141701,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0004,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.79040596,-72.93137703,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0005,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.79034603,-72.93133797,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0006,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.79019398,-72.93103597,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0007,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.79064602,-72.93120604,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0008,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78905396,-72.93202898,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0009,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.789004,-72.93195697,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0010,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78892999,-72.93189302,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0011,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78882597,-72.93176402,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0012,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78873997,-72.93161198,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0013,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78866303,-72.93154601,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0014,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78859597,-72.93152103,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0015,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78848097,-72.93153402,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0016,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.787795,-72.93091603,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0017,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78733399,-72.93030599,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0018,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78732301,-72.93008999,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0019,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.787119,-72.92985999,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0020,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78689696,-72.92968498,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0021,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78672304,-72.92936202,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0022,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78660703,-72.92924903,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0023,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78686997,-72.928798,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0024,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78700199,-72.92877596,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0025,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78705203,-72.928682,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0026,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78711204,-72.92855401,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0027,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78745704,-72.92841403,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0028,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78762996,-72.92827598,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0029,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78772903,-72.92817498,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0030,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78802902,-72.92813902,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0031,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78813698,-72.92811798,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0032,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78821803,-72.92798303,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0033,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78819297,-72.92771297,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0034,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78754203,-72.92688198,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0035,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78749702,-72.92680101,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0036,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78745704,-72.92673002,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0037,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78736501,-72.92663396,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0038,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78938303,-72.93307303,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0039,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78912202,-72.93319297,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0040,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78905002,-72.93331702,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0041,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78903904,-72.93344904,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0042,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78905698,-72.93344996,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0043,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78905698,-72.93344996,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0044,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78905698,-72.93344996,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0045,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78905698,-72.93344996,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0046,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.789047,-72.93372698,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0047,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.789047,-72.93372698,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0048,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.789047,-72.93372698,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0049,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.789047,-72.93372698,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0050,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.78881097,-72.933774,2025-03-19,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0051,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.768826,-72.94498396,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0052,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.768956,-72.94496703,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0053,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76896103,-72.94490299,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0054,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76891501,-72.94476796,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0055,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76887604,-72.94465799,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0056,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.768927,-72.94452698,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0057,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76883103,-72.94460502,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0058,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76876397,-72.94452497,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0059,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76869499,-72.94450896,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0060,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76862198,-72.94461298,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0061,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76847303,-72.94467702,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0062,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76847203,-72.94459102,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0063,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76843297,-72.94465204,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0064,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76836902,-72.94467601,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0065,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76817103,-72.94473502,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0066,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76810297,-72.944804,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0067,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76782302,-72.94501003,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0068,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.767776,-72.94509301,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0069,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76762898,-72.94530398,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0070,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76736998,-72.94552501,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0071,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76731197,-72.94553901,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0072,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76720401,-72.945551,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0073,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.767116,-72.94558704,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0074,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76703604,-72.94568301,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0075,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76706303,-72.94580002,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0076,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76698097,-72.94586498,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0077,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76686899,-72.94590396,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0078,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76682096,-72.94594503,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0079,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76667696,-72.94605098,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0080,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76657898,-72.94610202,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0081,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76634504,-72.94610001,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0082,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76630003,-72.94612398,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0083,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76623197,-72.946112,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0084,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76559301,-72.946371,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0085,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76549101,-72.94635599,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0086,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76542998,-72.94630403,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0087,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76538204,-72.94624804,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0088,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76530099,-72.94626002,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0089,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.765231,-72.94622599,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0090,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76515497,-72.94622599,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0091,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76512396,-72.94625499,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0092,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76507803,-72.94619196,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0093,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76496403,-72.94613999,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0094,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76486303,-72.94620898,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0095,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76478097,-72.94619397,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0096,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.764684,-72.94617796,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0097,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76461401,-72.94615902,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0098,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76443799,-72.946241,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0099,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76437797,-72.94622499,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0100,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.76428502,-72.94610797,2025-03-20,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0101,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.77349497,-73.04891403,2025-03-22,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0102,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.77384701,-73.05073299,2025-03-22,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
Mpyr_M_PRMB_0103,2023 kelpEVOL,Macrocystis pyrifera,Port Raúl Marín Balmaceda,-43.77369697,-73.05105904,2025-03-22,"Tom Sparke, Odisea",none,,All,2025-10-13,1,
