sample_id,project_name,species,site,latitude,longitude,collection_date,collector_name,storage_solution,storage_volume,tissue_left,tissue_left_date,sample_owner,notes
Mpyr_M_BATO_0001,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0002,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0003,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0004,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0005,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0006,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0007,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0008,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0009,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0010,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0011,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0012,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0013,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0014,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0015,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0016,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0017,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0018,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0019,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0020,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0021,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0022,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0023,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0024,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0025,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0026,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0027,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0028,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0029,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0030,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0031,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0032,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0033,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0034,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0035,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0036,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0037,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0038,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0039,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0040,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0041,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0042,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0043,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0044,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0045,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0046,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0047,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
Mpyr_M_BATO_0048,2023 kelpEVOL,Macrocystis pyrifera,Baja Tortugas Baja Mexico,27.671629,-114.899521,2023-09-12,Jan Freiwald,None,,All,2024-03-24,1,
